,id2,geography,totpop2010,totonerace2010,totwhiteonerace2010,pcwhiteonerace2010,PoliticalAffiliation,AvgYearsEduc
399,26163564503,"Census Tract 5645.03, Wayne County, Michigan",3592,3503,2151,59.90000153,Rep,15
400,26163564504,"Census Tract 5645.04, Wayne County, Michigan",5961,5802,4056,68,Rep,15
401,26163564600,"Census Tract 5646, Wayne County, Michigan",6678,6530,4933,73.90000153,Rep,15
402,26163564700,"Census Tract 5647, Wayne County, Michigan",5029,4845,2815,56,Rep,15
403,26163564800,"Census Tract 5648, Wayne County, Michigan",4676,4557,3570,76.30000305,Rep,15
404,26163564900,"Census Tract 5649, Wayne County, Michigan",2086,2003,1669,80,Rep,15
405,26163565000,"Census Tract 5650, Wayne County, Michigan",5046,4912,3401,67.40000153,Rep,15
406,26163565100,"Census Tract 5651, Wayne County, Michigan",3483,3408,2287,65.69999695,Rep,15
407,26163565200,"Census Tract 5652, Wayne County, Michigan",5078,4994,3248,64,Rep,15
408,26163565300,"Census Tract 5653, Wayne County, Michigan",5600,5472,2530,45.20000076,Rep,15
409,26163565600,"Census Tract 5656, Wayne County, Michigan",2299,2254,2073,90.19999695,Rep,15
410,26163565700,"Census Tract 5657, Wayne County, Michigan",3556,3451,2828,79.5,Rep,15
411,26163565800,"Census Tract 5658, Wayne County, Michigan",3881,3791,3333,85.90000153,Rep,15
412,26163565900,"Census Tract 5659, Wayne County, Michigan",2580,2520,2096,81.19999695,Rep,15
413,26163566400,"Census Tract 5664, Wayne County, Michigan",1012,999,608,60.09999847,Rep,15
414,26163566500,"Census Tract 5665, Wayne County, Michigan",2267,2196,1615,71.19999695,Rep,15
415,26163566600,"Census Tract 5666, Wayne County, Michigan",2155,2100,1619,75.09999847,Rep,15
416,26163566700,"Census Tract 5667, Wayne County, Michigan",3973,3863,3489,87.80000305,Rep,15
417,26163566800,"Census Tract 5668, Wayne County, Michigan",3089,2980,2448,79.19999695,Rep,15
418,26163566900,"Census Tract 5669, Wayne County, Michigan",5097,4925,3641,71.40000153,Rep,15
419,26163567000,"Census Tract 5670, Wayne County, Michigan",3587,3459,1529,42.59999847,Rep,15
420,26163567100,"Census Tract 5671, Wayne County, Michigan",3613,3499,3079,85.19999695,Rep,15
421,26163567201,"Census Tract 5672.01, Wayne County, Michigan",3502,3438,3268,93.30000305,Rep,15
422,26163567202,"Census Tract 5672.02, Wayne County, Michigan",3016,2974,2320,76.90000153,Rep,15
423,26163567300,"Census Tract 5673, Wayne County, Michigan",4455,4397,3916,87.90000153,Rep,15
424,26163567400,"Census Tract 5674, Wayne County, Michigan",2727,2698,2573,94.40000153,Rep,15
425,26163567800,"Census Tract 5678, Wayne County, Michigan",5025,4918,3937,78.30000305,Rep,15
426,26163567900,"Census Tract 5679, Wayne County, Michigan",2929,2847,2620,89.5,Rep,15
427,26163568000,"Census Tract 5680, Wayne County, Michigan",2240,2186,1885,84.19999695,Rep,15
428,26163568200,"Census Tract 5682, Wayne County, Michigan",3917,3847,3477,88.80000305,Rep,8
429,26163568300,"Census Tract 5683, Wayne County, Michigan",4320,4220,3457,80,Rep,8
430,26163568400,"Census Tract 5684, Wayne County, Michigan",3876,3802,3450,89,Rep,8
431,26163568500,"Census Tract 5685, Wayne County, Michigan",4547,4334,3424,75.30000305,Rep,8
432,26163568700,"Census Tract 5687, Wayne County, Michigan",3943,3805,2612,66.19999695,Rep,8
433,26163568800,"Census Tract 5688, Wayne County, Michigan",3127,3024,1429,45.70000076,Rep,8
434,26163568900,"Census Tract 5689, Wayne County, Michigan",2796,2727,2366,84.59999847,Rep,8
435,26163569100,"Census Tract 5691, Wayne County, Michigan",2499,2452,2363,94.59999847,Rep,8
436,26163569200,"Census Tract 5692, Wayne County, Michigan",2787,2738,2547,91.40000153,Rep,8
437,26163569300,"Census Tract 5693, Wayne County, Michigan",3861,3759,3500,90.69999695,Rep,8
438,26163569400,"Census Tract 5694, Wayne County, Michigan",2947,2890,2656,90.09999847,Rep,8
439,26163569500,"Census Tract 5695, Wayne County, Michigan",2662,2600,2551,95.80000305,Rep,8
440,26163569600,"Census Tract 5696, Wayne County, Michigan",3527,3459,3328,94.40000153,Rep,8
441,26163569700,"Census Tract 5697, Wayne County, Michigan",4463,4377,4125,92.40000153,Rep,8
442,26163569800,"Census Tract 5698, Wayne County, Michigan",2499,2422,2297,91.90000153,Rep,8
443,26163569900,"Census Tract 5699, Wayne County, Michigan",2447,2400,2235,91.30000305,Rep,8
444,26163570100,"Census Tract 5701, Wayne County, Michigan",3908,3758,1409,36.09999847,Rep,8
445,26163570200,"Census Tract 5702, Wayne County, Michigan",2724,2629,1047,38.40000153,Rep,8
446,26163570400,"Census Tract 5704, Wayne County, Michigan",5186,4962,1302,25.10000038,Rep,8
447,26163570500,"Census Tract 5705, Wayne County, Michigan",3732,3605,722,19.29999924,Rep,8
448,26163570600,"Census Tract 5706, Wayne County, Michigan",2009,1974,118,5.900000095,Rep,8
449,26163570800,"Census Tract 5708, Wayne County, Michigan",3022,2889,164,5.400000095,Rep,8
450,26163570900,"Census Tract 5709, Wayne County, Michigan",2535,2469,125,4.900000095,Rep,8
451,26163571000,"Census Tract 5710, Wayne County, Michigan",2250,2170,307,13.60000038,Rep,8
452,26163571500,"Census Tract 5715, Wayne County, Michigan",4585,4386,3669,80,Rep,8
453,26163571600,"Census Tract 5716, Wayne County, Michigan",1672,1625,1454,87,Rep,8
454,26163571700,"Census Tract 5717, Wayne County, Michigan",2401,2294,1586,66.09999847,Rep,8
455,26163571800,"Census Tract 5718, Wayne County, Michigan",3121,3045,2686,86.09999847,Rep,8
456,26163571900,"Census Tract 5719, Wayne County, Michigan",2852,2780,2377,83.30000305,Rep,8
457,26163572000,"Census Tract 5720, Wayne County, Michigan",1899,1855,1735,91.40000153,Rep,8
458,26163572100,"Census Tract 5721, Wayne County, Michigan",6177,5990,5613,90.90000153,Rep,8
459,26163572200,"Census Tract 5722, Wayne County, Michigan",6231,6110,5571,89.40000153,Rep,8
460,26163572400,"Census Tract 5724, Wayne County, Michigan",1339,1308,1115,83.30000305,Rep,8
461,26163572500,"Census Tract 5725, Wayne County, Michigan",1870,1811,1391,74.40000153,Rep,8
462,26163572600,"Census Tract 5726, Wayne County, Michigan",5189,5059,4366,84.09999847,Rep,8
463,26163572700,"Census Tract 5727, Wayne County, Michigan",4616,4497,4173,90.40000153,Rep,8
464,26163572800,"Census Tract 5728, Wayne County, Michigan",5644,5488,5123,90.80000305,Rep,8
465,26163572900,"Census Tract 5729, Wayne County, Michigan",2615,2535,2361,90.30000305,Rep,8
466,26163573000,"Census Tract 5730, Wayne County, Michigan",3110,3057,2928,94.09999847,Rep,8
467,26163573100,"Census Tract 5731, Wayne County, Michigan",4453,4328,3624,81.40000153,Rep,8
468,26163573300,"Census Tract 5733, Wayne County, Michigan",3900,3651,3493,89.59999847,Rep,8
469,26163573400,"Census Tract 5734, Wayne County, Michigan",3702,3490,3303,89.19999695,Rep,8
470,26163573500,"Census Tract 5735, Wayne County, Michigan",5315,4997,4767,89.69999695,Rep,8
471,26163573600,"Census Tract 5736, Wayne County, Michigan",6652,6196,5940,89.30000305,Rep,8
472,26163573701,"Census Tract 5737.01, Wayne County, Michigan",1990,1872,1777,89.30000305,Rep,8
473,26163573702,"Census Tract 5737.02, Wayne County, Michigan",6524,6120,5960,91.40000153,Rep,8
474,26163573800,"Census Tract 5738, Wayne County, Michigan",5306,4954,4726,89.09999847,Rep,8
475,26163573900,"Census Tract 5739, Wayne County, Michigan",5308,5082,4854,91.40000153,Rep,8
476,26163574000,"Census Tract 5740, Wayne County, Michigan",5759,5461,5157,89.5,Rep,8
477,26163574100,"Census Tract 5741, Wayne County, Michigan",3955,3718,3419,86.40000153,Rep,8
478,26163574202,"Census Tract 5742.02, Wayne County, Michigan",3008,2945,1959,65.09999847,Rep,8
479,26163574300,"Census Tract 5743, Wayne County, Michigan",3240,3115,2511,77.5,Rep,8
480,26163574600,"Census Tract 5746, Wayne County, Michigan",4913,4820,4578,93.19999695,Rep,8
481,26163574700,"Census Tract 5747, Wayne County, Michigan",4391,4325,4153,94.59999847,Rep,8
482,26163574800,"Census Tract 5748, Wayne County, Michigan",4233,4174,4053,95.69999695,Rep,8
483,26163574900,"Census Tract 5749, Wayne County, Michigan",1776,1740,1572,88.5,Rep,8
484,26163575000,"Census Tract 5750, Wayne County, Michigan",4589,4510,4279,93.19999695,Rep,8
485,26163575100,"Census Tract 5751, Wayne County, Michigan",2649,2595,2406,90.80000305,Rep,8
486,26163575200,"Census Tract 5752, Wayne County, Michigan",4059,3962,3504,86.30000305,Rep,8
487,26163575300,"Census Tract 5753, Wayne County, Michigan",3591,3521,3352,93.30000305,Rep,8
488,26163575400,"Census Tract 5754, Wayne County, Michigan",3253,3158,2926,89.90000153,Rep,8
489,26163575500,"Census Tract 5755, Wayne County, Michigan",3886,3811,3526,90.69999695,Rep,8
490,26163575600,"Census Tract 5756, Wayne County, Michigan",1539,1504,1378,89.5,Rep,8
491,26163576000,"Census Tract 5760, Wayne County, Michigan",1845,1803,1501,81.40000153,Rep,8
492,26163576100,"Census Tract 5761, Wayne County, Michigan",6082,5966,5531,90.90000153,Rep,8
493,26163576200,"Census Tract 5762, Wayne County, Michigan",2610,2564,2461,94.30000305,Rep,8
494,26163576300,"Census Tract 5763, Wayne County, Michigan",2430,2400,2292,94.30000305,Rep,8
495,26163576400,"Census Tract 5764, Wayne County, Michigan",3621,3587,3444,95.09999847,Rep,8
496,26163576500,"Census Tract 5765, Wayne County, Michigan",3902,3848,3717,95.30000305,Rep,8
497,26163576600,"Census Tract 5766, Wayne County, Michigan",4169,4099,3918,94,Rep,8
498,26163576700,"Census Tract 5767, Wayne County, Michigan",3553,3500,3342,94.09999847,Rep,8
499,26163577000,"Census Tract 5770, Wayne County, Michigan",4331,4078,2778,64.09999847,Rep,8
500,26163577100,"Census Tract 5771, Wayne County, Michigan",2933,2765,2225,75.90000153,Rep,8
501,26163577200,"Census Tract 5772, Wayne County, Michigan",3188,3070,2544,79.80000305,Rep,8
502,26163577300,"Census Tract 5773, Wayne County, Michigan",3086,3006,2788,90.30000305,Rep,8
503,26163577400,"Census Tract 5774, Wayne County, Michigan",3508,3451,3112,88.69999695,Rep,8
